Andrea_OD_89	Harry_Styles	507.0
miche_pp	john	250.0
miche_pp	justinbieber	245.0
AbdorrahmanDK	ShakingEarth	241.0
taniguchibob	ShakingEarth	238.0
miche_pp	jazmynbieber	135.0
taniguchibob	earthquakeinfo	114.0
MercyClamor	NewEarthquake	112.0
lauradyu	NewEarthquake	106.0
ruisaldanha	NewEarthquake	104.0
jdbmcx	karmabieber01	100.0
taniguchibob	NewEarthquake	98.0
TalaReyesMuoz	onedirection	87.0
TalaReyesMuoz	NiallOfficial	87.0
TalaReyesMuoz	Louis_Tomlinson	87.0
TalaReyesMuoz	zaynmalik	87.0
TalaReyesMuoz	Real_Liam_Payne	87.0
TalaReyesMuoz	Harry_Styles	87.0
ValRdgz5	officialr5	77.0
taniguchibob	EarthquakeNews	76.0
hazturk	NewEarthquake	69.0
Time2WakeUpNews	NewEarthquake	67.0
onewhitetiger	earthquakeBot	57.0
IsmaelIsmael016	NewEarthquake	56.0
C_X_	NewEarthquake	53.0
darkparadaiser	James_Yammouni	52.0
taniguchibob	earthquakeBot	50.0
MarceloDelorme	NewEarthquake	49.0
RyushiAhnam	NewEarthquake	49.0
blobtrotter	NewEarthquake	46.0
_TomST_	NewEarthquake	44.0
macha_oji	NewEarthquake	43.0
Borisio5	benkarome	43.0
Piteratt	benkarome	43.0
NurayNoi	benkarome	40.0
evanaa55	benkarome	39.0
Misstwittii	benkarome	39.0
Fanata33	benkarome	39.0
Monalizaasd	benkarome	39.0
Oyezscotus	iEarthquakes	39.0
Alpha_Anny	LastQuake	39.0
emelii_love	benkarome	38.0
LoremMara	benkarome	38.0
darkparadaiser	justinbieber	38.0
danilofuents	NewEarthquake	37.0
SmithMsarfak003	benkarome	37.0
ParkWukarburg	benkarome	37.0
AnderyJulia	benkarome	37.0
Barakaaa2	benkarome	37.0
msarfak2	benkarome	36.0
BrahanAdam	benkarome	36.0
Sandi556Maria	benkarome	36.0
pajuelojean	NewEarthquake	34.0
Info4Alerts	livewxradar	33.0
TheBuggey	NewEarthquake	33.0
Albaa56	benkarome	33.0
LisaAndrade	earthquakeBot	33.0
JohnatanLoayza	NewEarthquake	32.0
ArabNewsRt6	RT_com	31.0
XanthisSuarez	NewEarthquake	30.0
Bendeci00244128	NewEarthquake	30.0
TheRajFather	NewEarthquake	29.0
heythereitssme	justinbieber	29.0
PAULFELIXSCHOTT	USGS	29.0
AngieeAmaA1D	Louis_Tomlinson	29.0
misabelchandia	AgenciaMakro	28.0
Santiagomarin92	NewEarthquake	28.0
AngieeAmaA1D	zaynmalik	28.0
AngieeAmaA1D	Harry_Styles	28.0
AngieeAmaA1D	Real_Liam_Payne	28.0
AngieeAmaA1D	NiallOfficial	28.0
LuisAndresHenao	AP	27.0
mattgoalss	justinbieber	27.0
Milagruco_A	NewEarthquake	26.0
jbfuckmepls	justinbieber	26.0
kudubaca	justinbieber	25.0
ChanyCr	enews	25.0
ChanyCr	NinaLisandrello	25.0
taniguchibob	earthquakesfeed	24.0
SherazKhanNYC	ABC	24.0
tornamesa1	NewEarthquake	24.0
sas_320	NewEarthquake	23.0
DivinoRodrigu10	TodoSismos	23.0
kudubaca	katyperry	23.0
httpcxt_	thomasaugusto	23.0
SHUTTLECOCK74	NewEarthquake	22.0
Mel_Storni	NewEarthquake	22.0
DipakKhuthia	NewEarthquake	22.0
JaviValentina6	CodySimpson	22.0
COLREDRODEO	NewEarthquake	21.0
mattgoalss	shots	21.0
mattgoalss	gexwyswaggy	21.0
mattgoalss	jusxy	21.0
Cara_is_mine	CherLloyd	21.0
Cara_is_mine	Studio92	21.0
kardashSecurity	NewEarthquake	20.0
deadmantetris	NewEarthquake	20.0
kellyduff3	NewEarthquake	20.0
lapiors	NewEarthquake	20.0
_Daniel_Soto	ETCTV_OFICIAL	20.0
king_rogel	YouTube	19.0
CF9Sotelo	NewEarthquake	19.0
Fris3a	selenagomez	19.0
Nunavut_RT	freddiearomerop	19.0
HounslowReTweet	freddiearomerop	19.0
WindsorReTweet	freddiearomerop	19.0
kens1966	ShakingEarth	18.0
cmantilla2	NewEarthquake	18.0
MartaM62296137	NewEarthquake	18.0
GrupoWurtlitzer	alegriagonzaa	17.0
thegreenfox1	RT_com	17.0
fsalfatev	NewEarthquake	17.0
simonmazzet	NewEarthquake	17.0
BabsVk	ShakingEarth	17.0
Kaiuxol	NewEarthquake	17.0
arianacrewx	LittleMix	17.0
abhing1	NewEarthquake	17.0
anaast	shawnnmendes	17.0
datosyremates	DonDatos	16.0
Emoticotico	DonDatos	16.0
zodiacodeamor	DonDatos	16.0
Alsidrom	NewEarthquake	16.0
overcmr	NewEarthquake	16.0
silviavasquez52	NewEarthquake	16.0
diblodoz	NewEarthquake	16.0
LadyPMitchell	Pame_TO	16.0
PhilDeCarolis	RT_com	15.0
rendipurba313	YourAnonNews	15.0
GONZALO__MUNOZ	NewEarthquake	15.0
PrepperFeed	USGSted	15.0
Piyokodokusai	NewEarthquake	15.0
Piyokodictator	NewEarthquake	15.0
Project_MeetJus	pattiemallette	15.0
patonawrath	NewEarthquake	15.0
131jamie	Luke5SOS	15.0
AwanDiky	NewEarthquake	15.0
Onionlizard	YourAnonNews	14.0
ricardomedinao	NewEarthquake	14.0
AbsoluteRNews	ABC	14.0
